Model,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,ROC_AUC_mean,ROC_AUC_std
Linear SVC (Calibrated),0.9873882573671569,0.001940930989889496,0.9874351386309532,0.0019324397474933485,0.9873805530363194,0.0019327142468489693,0.993313559195847,0.0023793306051381924
Stacking Classifier,0.9866829301933849,0.0016652068305642643,0.9867622412465462,0.0016499145842646076,0.9866515480530594,0.0016585749598840582,0.9918508876605621,0.0038806398550562684
Soft Voting Classifier,0.9811997152504569,0.001865400246480827,0.9809293734555318,0.0018714296204525793,0.9803464338415095,0.001979883284371762,0.9915189708975666,0.0048643571439669
Hard Voting Classifier,0.9674165897774716,0.003996498457126835,0.9661216046866272,0.004330268390414976,0.9639521117005853,0.004950391122313023,,
Logistic Regression,0.9660557541622298,0.0020577233886788764,0.9647750549843226,0.0021885963857566854,0.962488014331629,0.002501564292267433,0.991628947648359,0.0029460899107783827
Multinomial Naive Bayes,0.9655343997955608,0.0017296144341579162,0.9641016543109219,0.0018731625962971955,0.9616853120656073,0.0021393776930222976,0.9822769262675063,0.0036204624102831656
AdaBoost,0.9432469475599558,0.006443323702121759,0.9439069317993084,0.005509148167958579,0.9392550060463103,0.0061224305082660194,0.9555611709546759,0.008719243065412816
